Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
161.9639,160.95663,M-H,0.95663,C6H4Cl2O,"2,4-Dichlorophenol",RefMet
163.87541,162.86814,M-H,0.86814,C2Cl4,Tetrachloroethene,RefMet
163.9199,162.91263,M-H,0.91263,C2H3Cl3O2,Chloral hydrate,RefMet
165.9266,164.91933,M-H,0.91933,C3H3BrO3,Bromopyruvicacid,RefMet
169.9885,168.98123,M-H,0.98123,C3H6O6S,Glycerone sulfate,RefMet
173.9987,172.99143,M-H,0.99143,C6H6O4S,4-hydroxybenzenesulfonic acid,RefMet
184.0008,182.99353,M-H,0.99353,C7H4O6,Chelidonic acid,RefMet
184.98599,183.97872,M-H,0.97872,C4H10O2PS2,Diethyldithiophosphate,RefMet
189.9936,188.98633,M-H,0.98633,C6H6O5S,Catechol sulfate,RefMet
190.9541,189.94683,M-H,0.94683,C6H3Cl2NO2,Clopyralid,RefMet
195.9249,194.91763,M-H,0.91763,C6H3Cl3O,"2,4,5-trichlorophenol",RefMet
196.9202,195.91293,M-H,0.91293,C5H2Cl3NO,"3,5,6-trichloro-2-pyridinol",RefMet
197.9137,196.90643,M-H,0.90643,C3H3IO2,3-iodo-2E-acrylic acid,RefMet
197.9834,196.97613,M-H,0.97613,C4H6O7S,Sulfobutanedioic acid,RefMet
205.9538,204.94653,M-H,0.94653,C7H4Cl2O3,"3,5-dichlorosalicylicacid",RefMet
205.9745,204.96723,M-H,0.96723,C2H8O7P2,Etidronic acid,RefMet
206.0063,204.99903,M-H,0.99903,C6H6O8,3-oxalomalic acid,RefMet
210.9644,209.95713,M-H,0.95713,C4H4O8P,2-oxo-3-hydroxy-4-phosphobutanoic acid,RefMet
213.98648,212.97921,M-H,0.97921,C4HF7O2,Perfluorobutanoic acid,RefMet
218.9933,217.98603,M-H,0.98603,C6H6NO6P,4-nitrophenyl phosphate,RefMet
221.9071,220.89983,M-H,0.89983,P2H2Na2O7,Pyrophosphate,RefMet
221.9881,220.98083,M-H,0.98083,C4H6N4O3S2,Acetazolamide,RefMet
229.88598,228.87871,M-H,0.87871,C6H2Cl4O,"2,3,4,5-Tetrachlorophenol",RefMet
229.886,228.87873,M-H,0.87873,C6H2Cl4O,"2,3,5,6-tetrachlorophenol",RefMet
229.9513,228.94403,M-H,0.94403,C7H7BrN2S,4-bromophenylthiourea,RefMet
233.985,232.97773,M-H,0.97773,C9H8Cl2O3,Dichlorprop,RefMet
233.9922,232.98493,M-H,0.98493,C10H6N2OS2,Quinomethionate,RefMet
242.9895,241.98223,M-H,0.98223,C9H10BrNO2,P-bromo-DL-phenylalanine,RefMet
245.9972,244.98993,M-H,0.98993,C6H15O2PS3,Thiometon,RefMet
249.9968,248.98953,M-H,0.98953,C11H7ClN2OS,Thienodolin,RefMet
256.96802,255.96075,M-H,0.96075,C7H9Cl2NO3S,"N-Acetyl-S-(1,2-dichlorovinyl)-L-cysteine",RefMet
257.9599,256.95263,M-H,0.95263,C9H4Cl2N2O3,"6,7-dichloro-3-hydroxy-2-quinoxalinecarboxylicacid",RefMet
263.847,262.83973,M-H,0.83973,C6HCl5O,Pentachlorophenol,RefMet
263.98328,262.97601,M-H,0.97601,C5HF9O2,Perfluoropentanoic acid,RefMet
274.8581,273.85083,M-H,0.85083,C7H3Br2NO,"3,5-dibromo-4-hydroxybenzonitrile",RefMet
281.81312,280.80585,M-H,0.80585,C6Cl6,Hexachlorobenzene,RefMet
287.9512,286.94393,M-H,0.94393,C12H7Cl3O2,Triclosan,RefMet
287.9762,286.96893,M-H,0.96893,C10H8O6S2,"Naphthalene-1,6-disulfonic acid",RefMet
288.9673,287.96003,M-H,0.96003,C12H6Cl2NNaO2,"2,6-Dichlorophenolindophenol sodium salt",RefMet
290.92905,289.92178,M-H,0.92178,C7H8Cl3NO3S,N-Acetyl-S-(trichlorovinyl)-L-cysteine,RefMet
295.9714,294.96413,M-H,0.96413,C14H4N2O2S2,Dithianon,RefMet
296.9645,295.95723,M-H,0.95723,C7H8ClN3O4S2,Hydrochlorothiazide,RefMet
299.95027,298.943,M-H,0.943,C4HF9O3S,Perfluorobutanesulfonic acid,RefMet
313.978,312.97073,M-H,0.97073,C13H9Cl3N2O,Triclocarban,RefMet
313.98009,312.97282,M-H,0.97282,C6HF11O2,Perfluorohexanoic acid,RefMet
315.938,314.93073,M-H,0.93073,C14H8Cl4,DDE,RefMet
317.9537,316.94643,M-H,0.94643,C14H10Cl4,Mitotane,RefMet
323.88339,322.87612,M-H,0.87612,C12H5Cl5,PCB118,RefMet
336.8949,335.88763,M-H,0.88763,C9H9Br2NO3,"3,5-dibromotyrosine",RefMet
351.9147,350.90743,M-H,0.90743,C14H9Cl5,Clofenotane,RefMet
353.9117,352.90443,M-H,0.90443,C14H9Cl5,"O,P'-DDT",RefMet
355.0048,353.99753,M-H,0.99753,C12H15Cl2NO5S,Thiamphenicol,RefMet
357.8444,356.83713,M-H,0.83713,C12H4Cl6,"2,2',4,4',5,5'-hexachlorobiphenyl",RefMet
357.84442,356.83715,M-H,0.83715,C12H4Cl6,PCB138,RefMet
370.0066,368.99933,M-H,0.99933,C7H16O13P2,"Sedoheptulose 1,7-bisphosphate",RefMet
385.9814,384.97413,M-H,0.97413,C16H13Cl3N2OS,Tioconazole,RefMet
391.80545,390.79818,M-H,0.79818,C12H3Cl7,PCB180,RefMet
399.94388,398.93661,M-H,0.93661,C6HF13O3S,Perfluorohexane-1-sulphonic acid,RefMet
403.8047,402.79743,M-H,0.79743,C12H7Br3O,"2,4-Dibromo-1-(4-bromophenoxy)benzene",RefMet
405.79777,404.7905,M-H,0.7905,C10H6Cl8,Cis-Chlordane,RefMet
413.9737,412.96643,M-H,0.96643,C8HF15O2,Perfluorooctanoic acid,RefMet
439.7588,438.75153,M-H,0.75153,C10H5Cl9,trans-nonachlor,RefMet
463.9705,462.96323,M-H,0.96323,C9HF17O2,Heptadecafluorononanoic acid,RefMet
498.95348,497.94621,M-H,0.94621,C8H2F17NO2S,Perfluorooctanesulfonamide,RefMet
499.93749,498.93022,M-H,0.93022,C8HF17O3S,Perfluorooctanesulfonic acid,RefMet
513.96731,512.96004,M-H,0.96004,C10HF19O2,Perfluorodecanoic acid,RefMet
539.62624,538.61897,M-H,0.61897,C10Cl12,Mirex,RefMet
595.9136,594.90633,M-H,0.90633,C18H32Br4O2,"9,10,12,13-tetrabromo-stearic acid",RefMet
