Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
167.95119,168.95847,M+H,0.95847,C4H8SSe,HMDB30877,Endogenous
167.95119,168.95847,M+H,0.95847,C4H8SSe,HMDB30880,Endogenous
167.97286,168.98014,M+H,0.98014,C3H4O6S,HMDB04045,Endogenous
167.98237,168.98965,M+H,0.98965,C3H5O6P,HMDB00263,Endogenous
168.9642,169.97148,M+H,0.97148,C3H7NO2Se,HMDB03288,Endogenous
169.93523,170.94251,M+H,0.94251,C3H6S4,HMDB31719,Endogenous
171.95238,172.95965,M+H,0.95965,C6H5BrO,HMDB32059,Endogenous
173.90761,174.91489,M+H,0.91489,C2H6S2Se,HMDB30876,Endogenous
173.91193,174.9192,M+H,0.9192,O7P2,HMDB00250,Endogenous
174.88921,175.89649,M+H,0.89649,IO3,HMDB01061,Endogenous
181.98938,182.99665,M+H,0.99665,C5H10OS3,HMDB32124,Endogenous
182.97985,183.98713,M+H,0.98713,C4H9NO2Se,HMDB04113,Endogenous
182.97985,183.98713,M+H,0.98713,C4H9NO2Se,HMDB04119,Endogenous
182.97985,183.98713,M+H,0.98713,C4H9NO2Se,HMDB31466,Endogenous
183.97729,184.98457,M+H,0.98457,C3H5O7P,HMDB01024,Endogenous
185.90177,186.90904,M+H,0.90904,C2Cl3F3,HMDB31155,Endogenous
187.89165,188.89893,M+H,0.89893,C2H4S5,HMDB31258,Endogenous
199.93342,200.9407,M+H,0.9407,C3H5IO2,HMDB31252,Endogenous
199.98723,200.9945,M+H,0.9945,C4F8,HMDB31292,Endogenous
200.97656,201.98384,M+H,0.98384,C3H7NO5S2,HMDB00731,Endogenous
209.9406,210.94787,M+H,0.94787,C7H5Cl3O,HMDB29643,Endogenous
211.95339,212.96066,M+H,0.96066,C6FeN6,HMDB32287,Endogenous
213.98785,214.99513,M+H,0.99513,C4H7O8P,HMDB06801,Endogenous
217.98851,218.99579,M+H,0.99579,C7H6O6S,HMDB11725,Endogenous
219.9694,220.97668,M+H,0.97668,C8H6Cl2O3,HMDB41797,Endogenous
243.90163,244.9089,M+H,0.9089,C7H4Cl4O,HMDB29627,Endogenous
249.86289,250.87017,M+H,0.87017,C6H4Br2O,HMDB32079,Endogenous
249.86289,250.87017,M+H,0.87017,C6H4Br2O,HMDB32080,Endogenous
252.87043,253.87771,M+H,0.87771,O10P3,HMDB03379,Endogenous
254.86445,255.87173,M+H,0.87173,CH5NO2S6,HMDB31980,Endogenous
255.92092,256.9282,M+H,0.9282,C4H6N2Na2S4,HMDB31224,Endogenous
257.90956,258.91683,M+H,0.91683,H5O10P3,HMDB12282,Endogenous
258.98441,259.99168,M+H,0.99168,C9H10BrNO3,HMDB05874,Endogenous
259.77761,260.78488,M+H,0.78488,Cl4Sn,HMDB36546,Food
261.80803,262.81531,M+H,0.81531,C3Cl6O,HMDB31489,Endogenous
265.95927,266.96655,M+H,0.96655,C3H8O10P2,HMDB01270,Endogenous
